agency_cd,site_no,Date,temp_C,month,year
USGS,14166000,2010-01-01,6.6,Jan,2010
USGS,14166000,2010-01-02,7,Jan,2010
USGS,14166000,2010-01-03,6.8,Jan,2010
USGS,14166000,2010-01-04,6.9,Jan,2010
USGS,14166000,2010-01-05,7.3,Jan,2010
USGS,14166000,2010-01-06,7.5,Jan,2010
USGS,14166000,2010-01-07,7.2,Jan,2010
USGS,14166000,2010-01-08,6.9,Jan,2010
USGS,14166000,2010-01-09,7.2,Jan,2010
USGS,14166000,2010-01-10,7.4,Jan,2010
USGS,14166000,2010-01-11,7.3,Jan,2010
USGS,14166000,2010-01-12,7.5,Jan,2010
USGS,14166000,2010-01-13,7.7,Jan,2010
USGS,14166000,2010-01-14,7.6,Jan,2010
USGS,14166000,2010-01-15,7.5,Jan,2010
USGS,14166000,2010-01-16,7.8,Jan,2010
USGS,14166000,2010-01-17,8.1,Jan,2010
USGS,14166000,2010-01-18,7.7,Jan,2010
USGS,14166000,2010-01-19,7.5,Jan,2010
USGS,14166000,2010-01-20,7.6,Jan,2010
USGS,14166000,2010-01-21,7.4,Jan,2010
USGS,14166000,2010-01-22,7.3,Jan,2010
USGS,14166000,2010-01-23,7,Jan,2010
USGS,14166000,2010-01-24,6.9,Jan,2010
USGS,14166000,2010-01-25,7.2,Jan,2010
USGS,14166000,2010-01-26,7.7,Jan,2010
USGS,14166000,2010-01-27,7.3,Jan,2010
USGS,14166000,2010-01-28,7,Jan,2010
USGS,14166000,2010-01-29,7.3,Jan,2010
USGS,14166000,2010-01-30,7.7,Jan,2010
USGS,14166000,2010-01-31,8,Jan,2010
USGS,14166000,2010-02-01,7.7,Feb,2010
USGS,14166000,2010-02-02,7.4,Feb,2010
USGS,14166000,2010-02-03,7.8,Feb,2010
USGS,14166000,2010-02-04,8,Feb,2010
USGS,14166000,2010-02-05,8.2,Feb,2010
USGS,14166000,2010-02-06,8.1,Feb,2010
USGS,14166000,2010-02-07,8.2,Feb,2010
USGS,14166000,2010-02-08,8.1,Feb,2010
USGS,14166000,2010-02-09,8,Feb,2010
USGS,14166000,2010-02-10,7.5,Feb,2010
USGS,14166000,2010-02-11,7.6,Feb,2010
USGS,14166000,2010-02-12,8.4,Feb,2010
USGS,14166000,2010-02-13,8.5,Feb,2010
USGS,14166000,2010-02-14,8.7,Feb,2010
USGS,14166000,2010-02-15,8.7,Feb,2010
USGS,14166000,2010-02-16,9.3,Feb,2010
